Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U10        SON80P300X60_HS-9L           4mm      13.125mm           4mm      13.125mm        5.31mm      14.325mm  B        180.00 IS25LQ032B-JTLA
L1         _0201                15.875mm      14.525mm      15.875mm      14.525mm      15.875mm      14.775mm  B        270.00 60R/100MHz     
L2         _0201                22.975mm      17.725mm      22.975mm      17.725mm      22.975mm      17.475mm  B         90.00 60R/100MHz     
L3         _0201                  8.63mm        6.05mm        8.63mm        6.05mm        8.38mm        6.05mm  B        360.00 60R/100MHz     
L4         _0201                   1.3mm     16.6251mm         1.3mm     16.6251mm        1.55mm     16.6251mm  T        180.00 60R/100MHz     
L5         _0201                   2.9mm        11.8mm         2.9mm        11.8mm         2.9mm       11.55mm  T         90.00 2n7H           
LED1       _0402+               10.225mm        26.8mm      10.225mm        26.8mm      10.625mm        26.8mm  T        180.00 0402R          
LED2       _0402+               10.225mm        25.7mm      10.225mm        25.7mm      10.625mm        25.7mm  T        180.00 0402Y          
LED3       _0402+               10.225mm        24.6mm      10.225mm        24.6mm      10.625mm        24.6mm  T        180.00 0402G          
LED4       _0402+               10.225mm        23.4mm      10.225mm        23.4mm      10.625mm        23.4mm  T        180.00 0402B          
R1         _0201                   9.1mm        26.8mm         9.1mm        26.8mm         9.1mm       27.05mm  T        270.00 1k             
R2         _0201                   1.2mm        21.1mm         1.2mm        21.1mm        0.95mm        21.1mm  T        360.00 4k7            
R3         _0201                   9.1mm        25.7mm         9.1mm        25.7mm         9.1mm       25.45mm  T         90.00 1k             
R4         _0201                   9.1mm        24.6mm         9.1mm        24.6mm         9.1mm       24.35mm  T         90.00 1k             
R5         _0201                   1.2mm        20.5mm         1.2mm        20.5mm        0.95mm        20.5mm  T        360.00 4k7            
R6         _0201                   1.2mm        21.7mm         1.2mm        21.7mm        1.45mm        21.7mm  T        180.00 330R           
R7         _0201                   9.1mm        23.4mm         9.1mm        23.4mm         9.1mm       23.65mm  T        270.00 1k             
R8         _0201                  26.6mm       22.65mm        26.6mm       22.65mm        26.6mm        22.9mm  B        270.00 2k4            
R9         _0201                25.125mm       18.05mm      25.125mm       18.05mm      25.375mm       18.05mm  B        180.00 24R9           
